rank,sign,date,r_net,country,tenor_years,leg,wd,r_bucket,contribution
7,gain,2023-10-31,0.00944122742266247,US,7.0,long,0.4166666666666667,0.029809699856459572,0.002116762117613031
7,gain,2023-10-31,0.00944122742266247,FR,30.0,long,0.4166666666666667,0.0762747271008756,0.0018200958008549616
7,gain,2023-10-31,0.00944122742266247,FR,20.0,long,0.4166666666666667,0.05958807389773804,0.001801124920543736
7,gain,2023-10-31,0.00944122742266247,JP,30.0,short,-0.4166666666666667,0.046556505484814166,-0.0008471071774280764
7,gain,2023-10-31,0.00944122742266247,US,2.0,short,-0.4166666666666667,0.005195246111148555,-0.0011517948564598018
7,gain,2023-10-31,0.00944122742266247,US,3.0,short,-0.4166666666666667,0.010310976589992617,-0.0015573570184956313
7,gain,2023-10-31,0.00944122742266247,CA,2.0,short,-0.4166666666666667,0.007730423678173211,-0.0017050758032790489
7,gain,2023-10-31,0.00944122742266247,CA,3.0,short,-0.4166666666666667,0.01231548011075699,-0.0018432693989290999
8,gain,2009-03-31,0.009009672174041227,US,20.0,short,-0.4166666666666667,-0.06627875295664253,0.0019506500450984145
8,gain,2009-03-31,0.009009672174041227,US,30.0,short,-0.4166666666666667,-0.08410003715229052,0.0019102105542120212
8,gain,2009-03-31,0.009009672174041227,GB,20.0,short,-0.4166666666666667,-0.03806410922416242,0.0011621674046920648
8,gain,2009-03-31,0.009009672174041227,CA,30.0,short,-0.4166666666666667,-0.046792135307228415,0.0010651372253202647
8,gain,2009-03-31,0.009009672174041227,CA,20.0,short,-0.4166666666666667,-0.03323240803081522,0.000991106944239244
8,gain,2009-03-31,0.009009672174041227,FR,30.0,short,-0.4166666666666667,0.007163877883155507,-0.00017577750469832624
8,gain,2009-03-31,0.009009672174041227,GB,1.0,short,-0.4166666666666667,0.0004913205424770901,-0.00020577900633517081
8,gain,2009-03-31,0.009009672174041227,DE,5.0,long,0.4166666666666667,-0.006529113146092751,-0.0005815596702432993
8,gain,2009-03-31,0.009009672174041227,DE,7.0,long,0.4166666666666667,-0.009181329933483777,-0.0006084603160750646
8,gain,2009-03-31,0.009009672174041227,US,3.0,long,0.4166666666666667,-0.004624013970370361,-0.0006552106763462658
9,gain,2024-01-31,0.008100878496026646,DE,2.0,short,-0.4166666666666667,-0.010355880738912328,0.0022398649804462223
9,gain,2024-01-31,0.008100878496026646,FR,2.0,short,-0.4166666666666667,-0.00987473372774136,0.002138434052926471
9,gain,2024-01-31,0.008100878496026646,US,2.0,short,-0.4166666666666667,-0.008215025808752406,0.0018037778543430044
9,gain,2024-01-31,0.008100878496026646,DE,1.0,short,-0.4166666666666667,-0.0041616426088119905,0.0017881254900733827
9,gain,2024-01-31,0.008100878496026646,GB,2.0,short,-0.4166666666666667,-0.007558911105105741,0.0016551463680576058
9,gain,2024-01-31,0.008100878496026646,US,30.0,long,0.4166666666666667,-0.02761345908600773,-0.0006797334587593456
9,gain,2024-01-31,0.008100878496026646,US,20.0,long,0.4166666666666667,-0.02306256384528379,-0.0007236719156753747
9,gain,2024-01-31,0.008100878496026646,FR,20.0,long,0.4166666666666667,-0.027221282156973916,-0.000772985974066555
9,gain,2024-01-31,0.008100878496026646,DE,30.0,long,0.4166666666666667,-0.0410271224635049,-0.0008048950915339338
9,gain,2024-01-31,0.008100878496026646,DE,20.0,long,0.4166666666666667,-0.03477863762616237,-0.0009240627058409077
10,gain,2023-11-30,0.008065854438774849,GB,10.0,long,0.4166666666666667,0.05089545338400405,0.002619613082548415
10,gain,2023-11-30,0.008065854438774849,GB,20.0,long,0.4166666666666667,0.07311667404396106,0.0023505069774561863
10,gain,2023-11-30,0.008065854438774849,US,20.0,long,0.4166666666666667,0.07046848847553547,0.0022845140721875355
10,gain,2023-11-30,0.008065854438774849,US,30.0,long,0.4166666666666667,0.0866994772477884,0.0022165396806355223
10,gain,2023-11-30,0.008065854438774849,FR,20.0,long,0.4166666666666667,0.07108434371615782,0.0020708100473740315
10,gain,2023-11-30,0.008065854438774849,CA,2.0,short,-0.4166666666666667,0.005325526253906684,-0.0011678547791666013
10,gain,2023-11-30,0.008065854438774849,FR,2.0,short,-0.4166666666666667,0.007196670450586726,-0.0015643828607385022
10,gain,2023-11-30,0.008065854438774849,CA,3.0,short,-0.4166666666666667,0.010956503918993152,-0.001626280166828549
10,gain,2023-11-30,0.008065854438774849,US,2.0,short,-0.4166666666666667,0.007647648846820155,-0.0016885624785937573
10,gain,2023-11-30,0.008065854438774849,GB,2.0,short,-0.4166666666666667,0.010602500346418093,-0.0023325845959583725
1,loss,2020-02-29,-0.020571558361137936,US,20.0,long,0.8333333333333334,0.0572447043280294,0.0027589923224121604
1,loss,2020-02-29,-0.020571558361137936,US,30.0,long,0.8333333333333334,0.0769373697270924,0.0027181811265569963
1,loss,2020-02-29,-0.020571558361137936,GB,20.0,long,0.8333333333333334,0.014925995458220917,0.000682139092040216
1,loss,2020-02-29,-0.020571558361137936,GB,10.0,long,0.8333333333333334,0.007283874536785682,0.0006208318849870745
1,loss,2020-02-29,-0.020571558361137936,CA,20.0,long,0.8333333333333334,0.0025741417386702164,0.00012243036945178062
1,loss,2020-02-29,-0.020571558361137936,GB,1.0,short,-0.8333333333333334,0.0026094470342184904,-0.00218155443337635
1,loss,2020-02-29,-0.020571558361137936,US,2.0,short,-0.8333333333333334,0.011504216559928494,-0.004845063419890157
1,loss,2020-02-29,-0.020571558361137936,CA,2.0,short,-0.8333333333333334,0.013045732192074283,-0.005514540745186551
1,loss,2020-02-29,-0.020571558361137936,US,1.0,short,-0.8333333333333334,0.00680962970868958,-0.005716008094020909
1,loss,2020-02-29,-0.020571558361137936,CA,1.0,short,-0.8333333333333334,0.00877190842418663,-0.007384296730882137
2,loss,2021-09-30,-0.020024219783374562,CA,20.0,short,-0.8333333333333334,-0.014764736608549567,0.000741963975690162
2,loss,2021-09-30,-0.020024219783374562,CA,30.0,short,-0.8333333333333334,-0.004029791602301403,0.00014935924047285458
2,loss,2021-09-30,-0.020024219783374562,US,20.0,short,-0.8333333333333334,0.008934155454641284,-0.0004543533035136376
2,loss,2021-09-30,-0.020024219783374562,US,30.0,short,-0.8333333333333334,0.035946862392187376,-0.0013472744427030026
2,loss,2021-09-30,-0.020024219783374562,US,5.0,long,0.8333333333333334,-0.008045442374188456,-0.0013773094586355286
2,loss,2021-09-30,-0.020024219783374562,GB,3.0,long,0.8333333333333334,-0.0074002239125093945,-0.002071322315684465
2,loss,2021-09-30,-0.020024219783374562,GB,2.0,long,0.8333333333333334,-0.005704985405286865,-0.0023869418323018902
2,loss,2021-09-30,-0.020024219783374562,GB,30.0,short,-0.8333333333333334,0.07084619691023818,-0.00241372107421672
2,loss,2021-09-30,-0.020024219783374562,CA,3.0,long,0.8333333333333334,-0.012352988400377319,-0.0034795459951648955
2,loss,2021-09-30,-0.020024219783374562,CA,2.0,long,0.8333333333333334,-0.008796289768627641,-0.003690789233974154
3,loss,2008-09-30,-0.01479927095244539,DE,1.0,long,0.4166666666666667,0.0068412737221658065,0.0029429302866274825
3,loss,2008-09-30,-0.01479927095244539,CA,1.0,long,0.4166666666666667,0.006494155398247549,0.0027595142905980485
3,loss,2008-09-30,-0.01479927095244539,FR,5.0,long,0.4166666666666667,0.027080976002030854,0.002536058194960433
3,loss,2008-09-30,-0.01479927095244539,JP,3.0,long,0.4166666666666667,0.007493428240242637,0.0010570052938948238
3,loss,2008-09-30,-0.01479927095244539,US,5.0,long,0.4166666666666667,0.011107004805977188,0.0010031174786855781
3,loss,2008-09-30,-0.01479927095244539,DE,3.0,short,-0.4166666666666667,0.02216398254105545,-0.003297847516689354
3,loss,2008-09-30,-0.01479927095244539,FR,2.0,short,-0.4166666666666667,0.01611387172568024,-0.003540934517793473
3,loss,2008-09-30,-0.01479927095244539,GB,2.0,short,-0.4166666666666667,0.0168686472648487,-0.003692324312033098
3,loss,2008-09-30,-0.01479927095244539,DE,2.0,short,-0.4166666666666667,0.017493763632434045,-0.003835141668219023
3,loss,2008-09-30,-0.01479927095244539,GB,1.0,short,-0.4166666666666667,0.009789962232160429,-0.004205171207250898
4,loss,2022-10-31,-0.01309756868346231,CA,10.0,long,0.4166666666666667,0.0281160451714491,0.0013857938182320235
4,loss,2022-10-31,-0.01309756868346231,US,2.0,long,0.4166666666666667,0.002946712148924021,0.0006488927067719132
4,loss,2022-10-31,-0.01309756868346231,GB,2.0,long,0.4166666666666667,0.0018142093205547206,0.00039396271482413037
4,loss,2022-10-31,-0.01309756868346231,US,1.0,long,0.4166666666666667,0.0006001915309975145,0.0002588536443443311
4,loss,2022-10-31,-0.01309756868346231,DE,1.0,long,0.4166666666666667,0.0004218924590355074,0.00017918008789524008
4,loss,2022-10-31,-0.01309756868346231,FR,20.0,short,-0.4166666666666667,0.05416825963921628,-0.001519872383763367
4,loss,2022-10-31,-0.01309756868346231,FR,30.0,short,-0.4166666666666667,0.07745818107467012,-0.0016317437574942767
4,loss,2022-10-31,-0.01309756868346231,DE,30.0,short,-0.4166666666666667,0.08954779945092478,-0.00170523719940722
4,loss,2022-10-31,-0.01309756868346231,US,10.0,short,-0.4166666666666667,0.03500166360911402,-0.0017924411651440019
4,loss,2022-10-31,-0.01309756868346231,US,30.0,short,-0.4166666666666667,0.07459253561712072,-0.0018361713421969489
5,loss,2008-08-31,-0.012790810861754745,FR,1.0,long,0.4166666666666667,0.006752668662032167,0.002935722700818485
5,loss,2008-08-31,-0.012790810861754745,US,1.0,long,0.4166666666666667,0.0039485316978622835,0.0016720456799896798
5,loss,2008-08-31,-0.012790810861754745,US,5.0,long,0.4166666666666667,0.007780172557516878,0.0007048940562779658
5,loss,2008-08-31,-0.012790810861754745,CA,2.0,short,-0.4166666666666667,-0.002666099113533713,0.0005745737137850938
5,loss,2008-08-31,-0.012790810861754745,JP,7.0,short,-0.4166666666666667,-0.007359861790262314,0.00045514605403829215
5,loss,2008-08-31,-0.012790810861754745,GB,2.0,short,-0.4166666666666667,0.009104719070969422,-0.0020055735448798726
5,loss,2008-08-31,-0.012790810861754745,FR,2.0,short,-0.4166666666666667,0.010352316673958637,-0.0022935383531635704
5,loss,2008-08-31,-0.012790810861754745,GB,1.0,short,-0.4166666666666667,0.005993416367854095,-0.002588106272084663
5,loss,2008-08-31,-0.012790810861754745,DE,2.0,short,-0.4166666666666667,0.012521614537065571,-0.002771737788545925
5,loss,2008-08-31,-0.012790810861754745,DE,1.0,short,-0.4166666666666667,0.010404674049018568,-0.004520799924338317
6,loss,1998-09-30,-0.012176871444101338,JP,2.0,long,0.5,0.0013967489680702153,0.0003508430825169047
6,loss,1998-09-30,-0.012176871444101338,JP,3.0,long,0.5,0.0015324623409145636,0.0002576678345356611
6,loss,1998-09-30,-0.012176871444101338,JP,7.0,short,-0.5,-0.0015481837616638469,0.00011362306589609779
6,loss,1998-09-30,-0.012176871444101338,JP,1.0,short,-0.5,0.0004625397250590849,-0.00023173308340425477
6,loss,1998-09-30,-0.012176871444101338,DE,1.0,short,-0.5,0.0008517915942607723,-0.00044059725548055553
6,loss,1998-09-30,-0.012176871444101338,GB,2.0,short,-0.5,0.0035231944817227584,-0.0009450036373748671
6,loss,1998-09-30,-0.012176871444101338,GB,10.0,long,0.5,-0.01493489578207232,-0.0009535958920107643
6,loss,1998-09-30,-0.012176871444101338,US,20.0,long,0.5,-0.025763238078731692,-0.0010410559484105915
6,loss,1998-09-30,-0.012176871444101338,DE,20.0,long,0.5,-0.02817877235349905,-0.0010995039833104864
