country,tenor_years,window,n_months,r_local_ann,yield_rolldown_ann,carry_rolldown_ann,price_return_ann,r_short_ann,diff_bp,diff_carry_bp,flagged,mean_duration,mean_dy_ann,trend_bp,trend_residual_bp,trend_linearisation_bp,coupon_vs_zero_bp,linear_exact_bp,convexity_bp,accounting_sum_bp,accounting_gap_bp,r_local_sd_monthly,half_var_ann_bp,annualisation
CA,1.0,full,487,0.04364579190218696,0.0433510643907576,0.00387734775831407,0.002930186626128816,0.039473716632443534,2.947275114293588,397.6844414387289,False,0.970724887073259,-0.001909719314596825,18.538120660036245,-15.590845545742658,-1.4528627789618653,-6.664102525982886,17.08525788107438,0.9951027068213171,11.41625806191281,-8.468982947619223,0.00407711201984882,0.9973705453437437,arithmetic: mean x 12
CA,2.0,full,487,0.047177358093975844,0.04533495531073786,0.005861238678294328,0.00522247863341358,0.039473716632443534,18.424027832379814,413.16119415681516,False,1.9014295452830638,-0.0018061917138499726,34.34346289159791,-15.919435059218095,-4.1877735705476375,-6.981410060332287,30.15568932105027,3.1538560935769024,26.328135354294886,-7.904107521915073,0.00678100439245497,2.758921234229615,arithmetic: mean x 12
CA,3.0,full,487,0.05079152517455844,0.047525751786926515,0.008052035154482983,0.007591623336836578,0.039473716632443534,32.65773387631926,427.3949002007546,False,2.7910692654992366,-0.0017861151329714472,49.851710522796886,-17.193976646477623,-7.695705357212276,-7.590406421544741,42.15600516558461,5.934848693648634,40.5004474376885,-7.842713561369237,0.00926265662738347,5.147808467808654,arithmetic: mean x 12
CA,5.0,full,487,0.05696498052174831,0.05123078919676609,0.011757072564322558,0.01160712653068343,0.039473716632443534,57.34191324982221,452.07907957425755,True,4.4479572676018,-0.0017427516552397753,77.51684890548825,-20.174935655666033,-15.803877249525662,-9.324395676574902,61.71297165596258,12.781304526181202,65.16988050556888,-7.827967255746671,0.013539393258834971,10.998910189043151,arithmetic: mean x 12
CA,7.0,full,487,0.06163865758961939,0.05368385327774119,0.01421013664529766,0.014513285145710871,0.039473716632443534,79.54804311878199,474.28520944321724,True,5.947330616645516,-0.001724180924939543,102.54274003529129,-22.994696916509298,-24.118194989582904,-11.372901459660385,78.42454504570838,20.28654704124833,87.33819062729633,-7.7901475085143375,0.016948715995330977,17.235538433423287,arithmetic: mean x 12
CA,10.0,full,487,0.06656805616713275,0.055964237028299425,0.01649052039585589,0.017488328552314407,0.039473716632443534,106.03819138833327,500.7753577127686,True,7.929263805361894,-0.0016785828403306845,133.0992616013566,-27.061070213023328,-35.39117330652286,-14.392726807397466,97.70808829483374,30.40519404546237,113.72055553289864,-7.682364144565369,0.020501595235167924,25.218924431199607,arithmetic: mean x 12
CA,20.0,full,487,0.07441796141009924,0.05579644156727738,0.016322724934833853,0.02184279308060865,0.039473716632443534,186.21519842821857,580.9523647526538,True,12.767313306872078,-0.0019747522431721827,252.12280592027693,-65.90760749205836,-90.09553017269224,-26.64478473671303,162.0272757475847,58.400086205138095,193.78257721600977,-7.567378787791199,0.02705094049812917,43.90520290999948,arithmetic: mean x 12
CA,30.0,full,427,0.06969539532827093,0.04129084240452781,0.011071638657455208,0.024464298236480848,0.0302192037470726,284.04552923743125,586.2375667081573,True,17.148709187679675,-0.00226766939071731,388.87602915213904,-104.83049991470779,-171.09916359983853,-10.457594025326815,217.7768655523005,81.94783054548998,289.2671020724637,-5.221572835032418,0.03169539642963975,60.275889289921196,arithmetic: mean x 12
DE,1.0,full,348,0.016682185920857268,0.016767785729352152,-0.0014017545005329023,0.0008440722700363296,0.01816954022988506,-0.8559980849488433,180.8394042139017,False,0.9847194599653064,-0.0002639663480932869,2.5993279974343557,-3.4553260823831993,-0.24620413910679861,-3.568637430880359e-15,2.353123858327557,0.35643100486770213,2.7095548631952555,-3.5655529481440986,0.0022508886498255826,0.30398998283481804,arithmetic: mean x 12
DE,2.0,full,348,0.019003713822398485,0.018662948896426487,0.0004934086665414339,0.002213719687903221,0.01816954022988506,3.4076492597199732,185.1030515585705,False,1.9519873813670061,-0.000367970647716833,7.182740610567019,-3.775091350847046,-1.2217223720168189,-0.10956315050428156,5.9610182385502,1.3661580195506278,7.217613107596547,-3.8099638478765736,0.004129033112419076,1.0229348666071896,arithmetic: mean x 12
DE,3.0,full,348,0.022340745454527973,0.021384441620432373,0.0032149013905473155,0.0043913353119603826,0.01816954022988506,9.563038340956002,191.25844063980657,False,2.8985846758635634,-0.0004901649063870645,14.207844862996433,-4.644806522040431,-2.9282795580743084,-0.3453711549744653,11.279565304922125,2.8899184538244076,13.824112603772067,-4.261074262816065,0.006118688885243778,2.246301220464345,arithmetic: mean x 12
DE,5.0,full,348,0.029348267598719866,0.026841412418021734,0.008671872188136677,0.008835587998051554,0.01816954022988506,25.068551806981322,206.76395410583189,False,4.717223455693308,-0.0006833553519234589,32.23539894666895,-7.166847139687629,-7.8535167052339965,-1.2228569259263873,24.381882241434955,6.810107446112877,29.969132761621445,-4.900580954640123,0.00966713121537743,5.6072055561194825,arithmetic: mean x 12
DE,7.0,full,348,0.03545816739784512,0.031350632158297934,0.013181091928412873,0.012528828928025036,0.01816954022988506,41.07535239547183,222.77075469432242,False,6.424304250399682,-0.0007968888334355477,51.19456319736033,-10.1192108018885,-14.072029772550792,-2.5480920697630105,37.12253342480954,11.817629523161488,46.39207087820802,-5.316718482736185,0.012894460777450729,9.976027124472918,arithmetic: mean x 12
DE,10.0,full,348,0.04181340370635715,0.03553388523458856,0.017364345004703505,0.0159855326650856,0.01816954022988506,62.79518471768594,244.49058701653647,True,8.77335048397857,-0.0008819487761018807,77.37645721657742,-14.58127249889148,-25.200878082569858,-5.034126207755035,52.17557913400756,21.3329817757399,68.47443470199242,-5.67924998430648,0.0174462907729821,18.262383704126425,arithmetic: mean x 12
