rank,sign,date,r_net,country,tenor_years,leg,wd,r_bucket,contribution
8,gain,2001-06-30,0.02286950200568742,US,5.0,long,0.8333333333333334,0.019525603830876915,0.0037154041207642734
8,gain,2001-06-30,0.02286950200568742,CA,2.0,long,0.8333333333333334,0.008150806014262688,0.0036142194318308897
8,gain,2001-06-30,0.02286950200568742,GB,20.0,short,-0.8333333333333334,0.031426266357465614,-0.002113359576642078
8,gain,2001-06-30,0.02286950200568742,GB,7.0,short,-0.8333333333333334,0.014661952592601075,-0.0021218672577911443
8,gain,2001-06-30,0.02286950200568742,US,30.0,short,-0.8333333333333334,0.036761145063837916,-0.002154867251796559
8,gain,2001-06-30,0.02286950200568742,GB,5.0,short,-0.8333333333333334,0.012068678938617756,-0.002328870904564659
8,gain,2001-06-30,0.02286950200568742,GB,3.0,short,-0.8333333333333334,0.008956576850690307,-0.0027354677395936963
9,gain,2016-12-31,0.022444037095123607,FR,30.0,short,-1.1111111111111112,-0.10896221636074244,0.005104331529045323
9,gain,2016-12-31,0.022444037095123607,DE,30.0,short,-1.1111111111111112,-0.06836623798559571,0.0029379507903485964
9,gain,2016-12-31,0.022444037095123607,DE,20.0,short,-1.1111111111111112,-0.04667148632718776,0.0028141306665368532
9,gain,2016-12-31,0.022444037095123607,GB,20.0,short,-1.1111111111111112,-0.027388087541470343,0.0018280951663458558
9,gain,2016-12-31,0.022444037095123607,GB,30.0,short,-1.1111111111111112,-0.037367494559336044,0.001810688640040208
9,gain,2016-12-31,0.022444037095123607,CA,1.0,long,1.1111111111111112,0.0005472994644000846,0.0006110497665187057
9,gain,2016-12-31,0.022444037095123607,US,7.0,long,1.1111111111111112,0.002915660612351016,0.0005027984149908885
9,gain,2016-12-31,0.022444037095123607,US,10.0,long,1.1111111111111112,0.002042076976969979,0.0002572062564399339
9,gain,2016-12-31,0.022444037095123607,CA,5.0,long,1.1111111111111112,0.001002360560446623,0.00023010836362358965
9,gain,2016-12-31,0.022444037095123607,CA,3.0,long,1.1111111111111112,0.0005665079409223435,0.00021315764640609578
10,gain,2023-05-31,0.02228293126582656,US,2.0,short,-0.5296614864527392,-0.009912481972566665,0.0027710828909692314
10,gain,2023-05-31,0.02228293126582656,FR,2.0,short,-0.5296614864527392,-0.009711589178197654,0.0026816134699965202
10,gain,2023-05-31,0.02228293126582656,DE,1.0,short,-0.5296614864527392,-0.004841341722831193,0.0026403323681631822
10,gain,2023-05-31,0.02228293126582656,US,3.0,short,-0.5296614864527392,-0.01389356306466638,0.0026292756552555867
10,gain,2023-05-31,0.02228293126582656,DE,2.0,short,-0.5296614864527392,-0.009126917113068522,0.002516021798024204
10,gain,2023-05-31,0.02228293126582656,FR,20.0,long,0.5296614864527392,-0.009020157444490206,-0.0003286000588887441
10,gain,2023-05-31,0.02228293126582656,FR,10.0,long,0.5296614864527392,-0.0141477385410393,-0.0008708638061873988
10,gain,2023-05-31,0.02228293126582656,GB,10.0,long,0.5296614864527392,-0.01855108994236773,-0.0012112198519282124
10,gain,2023-05-31,0.02228293126582656,CA,1.0,long,0.5296614864527392,-0.0025709724963681423,-0.001412971216959948
10,gain,2023-05-31,0.02228293126582656,GB,1.0,long,0.5296614864527392,-0.0063070420065947895,-0.0034574573212737187
1,loss,1998-11-30,-0.053032941896934624,DE,5.0,long,0.8333333333333334,0.007123232687575006,0.0013193041259372416
1,loss,1998-11-30,-0.053032941896934624,DE,7.0,long,0.8333333333333334,0.009292475769447724,0.0012829933354709386
