date,country,leg,carry_earned,yield_change_pnl,hedge,cost,total
2022-08-31,FR,long,0.001989290732986214,-0.01985979992355075,0.0,-0.0002402095043636584,-0.018110718694928196
2022-08-31,FR,short,-0.0004976354836287583,0.013944233181648393,0.0,-4.135257410186892e-05,0.013405245123917766
2022-08-31,GB,long,0.0009048061022318352,-0.01337660100394349,0.0,-0.00011607799118503705,-0.012587872892896692
2022-08-31,GB,short,-3.963316055799371e-05,0.00488047117867484,0.0,-7.327238324749829e-06,0.0048335107797920955
2022-08-31,JP,short,-4.453356711689325e-05,0.0008482303050698653,0.0,-8.657378640042746e-06,0.0007950393593129292
2022-08-31,US,long,0.0007222695291657091,-0.0071069661118542595,0.0,-0.000116731596692618,-0.006501428179381169
2022-08-31,US,short,-1.7753034792474383e-05,0.004021671388843862,0.0,-1.0429203350664906e-05,0.003993489150700723
2022-09-30,ALL,both,0.0013857388883960924,-0.00732395582480465,0.0,-0.0007428571428571429,-0.006681074079265701
2022-09-30,CA,long,0.0005771528770607868,-0.0037849258234974046,0.0,-0.00010141851030907071,-0.0033091914567456885
2022-09-30,CA,short,4.7182901240804245e-05,0.005406780815201847,0.0,-4.16870729616825e-05,0.005412276643480969
2022-09-30,DE,long,0.0009683845708920074,-0.007241710857717128,0.0,-0.0001125088307843182,-0.006385835117609439
2022-09-30,DE,short,-0.00024062672218797787,0.002149488988179793,0.0,-1.8779647712966213e-05,0.0018900826182788489
2022-09-30,FR,long,0.0013507211087253963,-0.006592010264144366,0.0,-0.0001271830961709937,-0.005368472251589962
2022-09-30,FR,short,-0.0005021232106217072,-0.0013080314038189911,0.0,-1.7845986560109596e-05,-0.001828000601000808
2022-09-30,GB,long,0.0016112271364080095,0.019861514948969823,0.0,-5.897237432484396e-05,0.02141376971105299
2022-09-30,GB,short,-0.0018107590377492624,-0.016445551135421448,0.0,-6.350574635114573e-05,-0.018319815919521858
2022-09-30,JP,long,5.493487869043143e-05,0.0003868463313827802,0.0,-1.1939019299221892e-05,0.00042984219077398975
2022-09-30,JP,short,-0.0001499218074688951,0.00010830257292933408,0.0,-7.15813428925012e-05,-0.00011320057743206221
2022-09-30,US,long,0.0005361921021377581,-0.007044971633545241,0.0,-4.980758923462363e-05,-0.006558587120642107
2022-09-30,US,short,-0.0010566259087312587,0.007180311636676351,0.0,-6.76279262556654e-05,0.006056057801689427
2022-10-31,ALL,both,0.002931886165271919,-0.022201303527300695,0.0,-0.0006357142857142857,-0.01990513164774306
2022-10-31,CA,long,0.00031615867821508336,-0.0005569581133256387,0.0,-3.235962452084494e-05,-0.00027315905963140027
