country,decade,tenor_years,n_months,sd_bp
GB,2000s,3.0,120,25.261828441321587
GB,2000s,5.0,120,23.073234473617624
GB,2000s,7.0,120,22.516231828808984
GB,2000s,10.0,120,22.264288599263562
GB,2010s,1.0,120,7.918339331136488
GB,2010s,2.0,120,12.079106439237535
GB,2010s,3.0,120,15.183145857043524
GB,2010s,5.0,120,18.78948663748308
GB,2010s,7.0,120,20.62872202404235
GB,2010s,10.0,120,21.6482851954666
GB,2020s,1.0,80,30.318228572166124
GB,2020s,2.0,80,34.895956505321976
GB,2020s,3.0,80,35.826538744071115
GB,2020s,5.0,80,34.58247024605282
GB,2020s,7.0,80,32.535965460859146
GB,2020s,10.0,80,29.80425428085805
GB,full,1.0,676,52.7317152425266
GB,full,2.0,676,49.45596547258033
GB,full,3.0,676,47.216827926160455
GB,full,5.0,676,44.45303644797997
GB,full,7.0,676,42.886061434374284
GB,full,10.0,676,42.45595666166324
JP,1980s,1.0,36,33.40395671830607
JP,1980s,2.0,36,31.262087476810876
JP,1980s,3.0,36,29.928899826996876
JP,1980s,5.0,36,32.7841155842421
JP,1980s,7.0,36,37.66734172718647
JP,1980s,10.0,36,45.76477030640875
JP,1980s,20.0,36,29.369384216532957
JP,1990s,1.0,120,26.789310421938293
JP,1990s,2.0,120,28.736630396749582
JP,1990s,3.0,120,30.356507835649303
JP,1990s,5.0,120,30.225710676479277
JP,1990s,7.0,120,29.496502415645818
JP,1990s,10.0,120,27.851343485107108
JP,1990s,20.0,120,26.310860223178388
JP,2000s,1.0,120,6.1588402389785415
JP,2000s,2.0,120,7.1832702657649055
JP,2000s,3.0,120,8.842808844467681
JP,2000s,5.0,120,10.978259049093982
JP,2000s,7.0,120,13.322826611362416
JP,2000s,10.0,120,12.233120528939239
JP,2000s,20.0,120,12.755443331828218
JP,2010s,1.0,120,2.8059358145977433
JP,2010s,2.0,120,3.299376337859274
JP,2010s,3.0,120,3.939072413752623
JP,2010s,5.0,120,4.9481556859268565
