scope,component,eigenvalue,explained_share,n_months
US,1,8874.036067268067,0.9091075030786344,775
US,2,706.3778450141792,0.07236542583814452,775
US,3,109.42288424786781,0.01120991218924201,775
US,4,42.09345272245416,0.0043122963903221715,775
US,5,17.944332915669932,0.0018383210940000848,775
US,6,11.386915747808201,0.0011665414096568585,775
GB,1,11548.09777205907,0.8833041524401144,676
GB,2,1209.214900030389,0.09249181670193403,676
GB,3,256.9892384274296,0.019656887733025857,676
GB,4,55.866611936742345,0.004273189514023847,676
GB,5,3.3977358272190696,0.0002598899164448293,676
GB,6,0.1838652271460325,1.4063694457141507e-05,676
DE,1,2617.1701222175543,0.8158167736365791,348
DE,2,469.19313450466626,0.14625553988813716,348
DE,3,82.49730505268586,0.025715823618209656,348
DE,4,26.086074906493163,0.008131476546517117,348
DE,5,10.202811209414453,0.0031803910843346064,348
DE,6,2.771954310148638,0.0008640656573204949,348
DE,7,0.11189313522813396,3.487900759640019e-05,348
DE,8,0.0033702391869612014,1.0505613053386756e-06,348
JP,1,2000.9115180030487,0.821053959573165,476
JP,2,232.3805140396492,0.0953550116850348,476
JP,3,116.28680979905563,0.0477171253064378,476
JP,4,43.254632590573166,0.01774910436510289,476
JP,5,29.14910685627169,0.011961043447962548,476
JP,6,10.744693808249744,0.004408977266755521,476
JP,7,4.2764013037223165,0.0017547783555413084,476
CA,1,6145.541846991556,0.8747074479654001,487
CA,2,675.5893776262404,0.09615800772152706,487
CA,3,106.84275873678207,0.015207146766722197,487
CA,4,56.2871689411069,0.008011467031466882,487
CA,5,32.549824513879045,0.004632882606794798,487
CA,6,8.177689037473352,0.0011639470833193681,487
CA,7,0.836781605479375,0.00011910082476967632,487
FR,1,2467.4752090819347,0.8455953142073842,261
FR,2,348.19988205765804,0.11932690857107714,261
FR,3,65.34692895518143,0.022394169035199165,261
FR,4,24.708455514076434,0.008467503189942223,261
FR,5,6.610863297422106,0.0022655202397132107,261
FR,6,3.2051932979160456,0.0010984087799022432,261
FR,7,2.4866778010183412,0.0008521759767819449,261
pooled,1,6488.270463057257,0.8910524969957546,3023
pooled,2,626.5797900010123,0.08604997119438833,3023
pooled,3,116.34414055993837,0.01597786922524646,3023
pooled,4,35.26249690976238,0.004842698235323482,3023
pooled,5,10.440060962037027,0.0014337630408562856,3023
pooled,6,4.683522088049217,0.0006432013084307515,3023
pooled_20y,1,2506.162823757085,0.8506613436803104,1566
pooled_20y,2,344.409681146502,0.11690222174047699,1566
pooled_20y,3,65.12702226939922,0.022105922148558093,1566
pooled_20y,4,22.04926209580437,0.007484132612524258,1566
pooled_20y,5,5.058552572776972,0.0017170133910872501,1566
pooled_20y,6,2.0383223515675524,0.0006918632795927741,1566
pooled_20y,7,1.2889431635308708,0.0004375031474503257,1566
