# gap_bp - the plan's dy: par yield at the aged tenor minus the coupon
tenor_years,n,mean_bp,std_bp,p01,p05,p50,p95,p99,max_abs_bp
2011-08-31,US,30.0,-0.006999999999999947,70.60868663000764
2011-07-31,US,30.0,-0.0051999999999999685,67.76563917966286
2016-12-31,FR,30.0,0.004719999999999964,-63.64799708139871
2016-05-31,FR,30.0,-0.004789999999999994,59.31809473452121
2012-04-30,US,30.0,-0.004499999999999997,58.83941816474989
1975-03-31,GB,20.0,0.014377119865452342,-58.47402284973893
2014-12-31,FR,30.0,-0.004709999999999985,56.05786473584048
2019-07-31,FR,30.0,-0.003649999999999958,56.00853698090783
2013-04-30,US,30.0,0.004200000000000034,-55.139453178254804
2016-05-31,DE,30.0,-0.004935208518470085,53.037743367777004
2011-07-31,US,20.0,-0.005799999999999965,52.656930557291595
2019-05-31,FR,30.0,-0.0033700000000000674,51.040187314588536
1991-02-28,CA,30.0,-0.0034615058097332146,-50.53828782653452
1998-11-30,JP,20.0,0.008799999999999992,-48.77280985454507
2016-09-30,DE,30.0,0.004029904521823067,-48.58134199459616
