rank,sign,date,r_net,country,tenor_years,leg,wd,r_bucket,contribution
1,gain,2002-06-30,0.022705335048019696,US,3.0,long,0.45454545454545453,0.02195351741254925,0.003525189606079856
1,gain,2002-06-30,0.022705335048019696,US,2.0,long,0.45454545454545453,0.014102760954869287,0.0033221967252246524
1,gain,2002-06-30,0.022705335048019696,US,5.0,long,0.45454545454545453,0.029016712010080936,0.002943581917813113
1,gain,2002-06-30,0.022705335048019696,CA,2.0,long,0.45454545454545453,0.011737984785308995,0.002801488064545074
1,gain,2002-06-30,0.022705335048019696,CA,3.0,long,0.45454545454545453,0.01659866850999173,0.002712035309076113
1,gain,2002-06-30,0.022705335048019696,DE,20.0,short,-0.45454545454545453,0.008943867749505102,-0.00033349502371284343
1,gain,2002-06-30,0.022705335048019696,CA,30.0,short,-0.45454545454545453,0.014186638825570062,-0.0004548315913461961
1,gain,2002-06-30,0.022705335048019696,GB,10.0,short,-0.45454545454545453,0.00802534595425104,-0.00046869450831517524
1,gain,2002-06-30,0.022705335048019696,GB,7.0,short,-0.45454545454545453,0.012620656877191895,-0.0009836690384388352
1,gain,2002-06-30,0.022705335048019696,GB,5.0,short,-0.45454545454545453,0.014708165267668894,-0.0015300787884888285
2,gain,2003-04-30,0.01864258674803312,US,5.0,long,0.45454545454545453,0.028511327090384616,0.0027993921183107296
2,gain,2003-04-30,0.01864258674803312,US,7.0,long,0.45454545454545453,0.036478210134771705,0.002680793733714858
2,gain,2003-04-30,0.01864258674803312,US,10.0,long,0.45454545454545453,0.0483735033294036,0.0026751690899327655
2,gain,2003-04-30,0.01864258674803312,CA,5.0,long,0.45454545454545453,0.0252814192597627,0.0025820021030720846
2,gain,2003-04-30,0.01864258674803312,CA,3.0,long,0.45454545454545453,0.01527802497618937,0.0024749804103956605
2,gain,2003-04-30,0.01864258674803312,JP,7.0,short,-0.45454545454545453,0.0077921814006081044,-0.0005131683672877531
2,gain,2003-04-30,0.01864258674803312,GB,2.0,short,-0.45454545454545453,0.0024218519000128572,-0.0005748177711649069
2,gain,2003-04-30,0.01864258674803312,GB,20.0,short,-0.45454545454545453,0.03098123986064981,-0.001085635070017879
2,gain,2003-04-30,0.01864258674803312,DE,1.0,short,-0.45454545454545453,0.002734587296064786,-0.0012727085544318893
2,gain,2003-04-30,0.01864258674803312,CA,30.0,short,-0.45454545454545453,0.06343530226441109,-0.001944885823200804
3,gain,2003-08-31,0.016844706903674896,US,5.0,long,0.4166666666666667,0.03201090240782757,0.0029279220469931658
3,gain,2003-08-31,0.016844706903674896,US,7.0,long,0.4166666666666667,0.04092544353212414,0.0028171018887067386
3,gain,2003-08-31,0.016844706903674896,US,3.0,long,0.4166666666666667,0.01814922404979592,0.002632599093044389
3,gain,2003-08-31,0.016844706903674896,US,10.0,long,0.4166666666666667,0.04540352665305537,0.0023644887715216327
3,gain,2003-08-31,0.016844706903674896,US,2.0,long,0.4166666666666667,0.009760811909800172,0.002083309564680392
3,gain,2003-08-31,0.016844706903674896,JP,5.0,short,-0.4166666666666667,0.0037237926062494904,-0.00031649342701406744
3,gain,2003-08-31,0.016844706903674896,GB,10.0,short,-0.4166666666666667,0.0073225253796115886,-0.000385414018594943
3,gain,2003-08-31,0.016844706903674896,GB,7.0,short,-0.4166666666666667,0.007026458999774554,-0.000493704026415572
3,gain,2003-08-31,0.016844706903674896,CA,30.0,short,-0.4166666666666667,0.032727197562895334,-0.0009134327922493249
3,gain,2003-08-31,0.016844706903674896,CA,20.0,short,-0.4166666666666667,0.03061002748832965,-0.0010497703067569042
4,gain,1998-05-31,0.014701531157391375,GB,1.0,short,-0.5,-0.0058061361714829215,0.0030514984815880396
4,gain,1998-05-31,0.014701531157391375,GB,2.0,short,-0.5,-0.011274280802478463,0.0030495187603436654
4,gain,1998-05-31,0.014701531157391375,GB,3.0,short,-0.5,-0.014806835230165759,0.002743481389183907
4,gain,1998-05-31,0.014701531157391375,GB,5.0,short,-0.5,-0.01715063905095867,0.0020077989959032282
4,gain,1998-05-31,0.014701531157391375,GB,7.0,short,-0.5,-0.015630117547324428,0.0013745030740810974
4,gain,1998-05-31,0.014701531157391375,GB,20.0,short,-0.5,0.0015816842363561082,-6.657023760042456e-05
4,gain,1998-05-31,0.014701531157391375,CA,1.0,long,0.5,-0.00041513757711588144,-0.00021550927086986147
4,gain,1998-05-31,0.014701531157391375,CA,2.0,long,0.5,-0.0018686514576854605,-0.0004977257929785922
4,gain,1998-05-31,0.014701531157391375,US,10.0,short,-0.5,0.008852680382439013,-0.0005830020151652879
4,gain,1998-05-31,0.014701531157391375,US,30.0,short,-0.5,0.027322357754233292,-0.0009672313849310298
5,gain,2023-05-31,0.014280154726638154,US,2.0,short,-0.35714285714285715,-0.009933315305899998,0.001872427027436109
5,gain,2023-05-31,0.014280154726638154,US,3.0,short,-0.35714285714285715,-0.013914396397999712,0.001775539869229242
5,gain,2023-05-31,0.014280154726638154,FR,2.0,short,-0.35714285714285715,-0.009391951497038238,0.0017486596572437627
5,gain,2023-05-31,0.014280154726638154,DE,1.0,short,-0.35714285714285715,-0.004521704041671777,0.0016627944585346634
5,gain,2023-05-31,0.014280154726638154,DE,2.0,short,-0.35714285714285715,-0.008807279431909105,0.0016371016346890177
5,gain,2023-05-31,0.014280154726638154,FR,20.0,long,0.35714285714285715,-0.00870051976333079,-0.0002137185851070108
5,gain,2023-05-31,0.014280154726638154,FR,10.0,long,0.35714285714285715,-0.013828100859879884,-0.0005739437464913923
5,gain,2023-05-31,0.014280154726638154,GB,10.0,long,0.35714285714285715,-0.018742756609034395,-0.0008251456005109761
5,gain,2023-05-31,0.014280154726638154,CA,1.0,long,0.35714285714285715,-0.002552639163034809,-0.000945951534495994
5,gain,2023-05-31,0.014280154726638154,GB,1.0,long,0.35714285714285715,-0.006498708673261457,-0.0024021589808433056
6,gain,2002-08-31,0.014248689745398,US,5.0,long,0.45454545454545453,0.02977525354669209,0.002952271987288226
6,gain,2002-08-31,0.014248689745398,US,7.0,long,0.45454545454545453,0.03668593003679555,0.0027335636532524635
6,gain,2002-08-31,0.014248689745398,US,10.0,long,0.45454545454545453,0.046267075030210665,0.002589720514875205
6,gain,2002-08-31,0.014248689745398,US,3.0,long,0.45454545454545453,0.014920380507097326,0.0023605915177133904
6,gain,2002-08-31,0.014248689745398,US,2.0,long,0.45454545454545453,0.008526147770604571,0.0019898717956758336
6,gain,2002-08-31,0.014248689745398,US,1.0,short,-0.45454545454545453,0.0019376215384124896,-0.0008922472751508706
6,gain,2002-08-31,0.014248689745398,GB,1.0,short,-0.45454545454545453,0.0019692878854273145,-0.0009207297759902435
6,gain,2002-08-31,0.014248689745398,DE,1.0,short,-0.45454545454545453,0.0022343314127471745,-0.0010491132266455562
6,gain,2002-08-31,0.014248689745398,GB,10.0,short,-0.45454545454545453,0.020113392484420498,-0.0011543859317105437
6,gain,2002-08-31,0.014248689745398,GB,7.0,short,-0.45454545454545453,0.017769364045455857,-0.0013636381617877075
7,gain,2023-01-31,0.013941382785692128,US,3.0,short,-0.35714285714285715,-0.01772233868346155,0.0022561130739998463
7,gain,2023-01-31,0.013941382785692128,US,2.0,short,-0.35714285714285715,-0.011524523190842996,0.002167378102443076
7,gain,2023-01-31,0.013941382785692128,GB,1.0,short,-0.35714285714285715,-0.00579051671137485,0.0021216085113113185
7,gain,2023-01-31,0.013941382785692128,GB,2.0,short,-0.35714285714285715,-0.011367408815566506,0.0021148693246535303
7,gain,2023-01-31,0.013941382785692128,US,5.0,short,-0.35714285714285715,-0.025482222058031224,0.0020067557492889528
7,gain,2023-01-31,0.013941382785692128,FR,7.0,long,0.35714285714285715,-0.024488779867441787,-0.0013832267418823778
7,gain,2023-01-31,0.013941382785692128,FR,5.0,long,0.35714285714285715,-0.019240535360510833,-0.0014837813769889153
