variant,window,piece,cumulative,share
carry_hedged,full,carry_earned,0.7568305886064814,4.417974185463031
carry_hedged,full,yield_change_pnl,-0.5342581856528836,-3.118714951694464
carry_hedged,full,funding,0.0,0.0
carry_hedged,full,fx,0.0,0.0
carry_hedged,full,cost,-0.05126524794649795,-0.29925923376856756
carry_hedged,full,r_net,0.17130715500709992,1.0
carry_hedged,six,carry_earned,0.5043355765265645,4.838925489509965
carry_hedged,six,yield_change_pnl,-0.36139195331249685,-3.467430845611832
carry_hedged,six,funding,0.0,0.0
carry_hedged,six,fx,0.0,0.0
carry_hedged,six,cost,-0.03871891927516928,-0.3714946438981323
carry_hedged,six,r_net,0.10422470393889827,1.0
carry_hedged,1990s,carry_earned,0.08853238816716845,-13.899972469550718
carry_hedged,1990s,yield_change_pnl,-0.09065163734094255,14.232703866290585
carry_hedged,1990s,funding,0.0,-0.0
carry_hedged,1990s,fx,0.0,-0.0
carry_hedged,1990s,cost,-0.00425,0.6672686032601346
carry_hedged,1990s,r_net,-0.006369249173774086,1.0
carry_hedged,2000s,carry_earned,0.3065244183332638,3.6851078330150195
carry_hedged,2000s,yield_change_pnl,-0.20627029194665916,-2.4798294136047954
carry_hedged,2000s,funding,0.0,0.0
carry_hedged,2000s,fx,0.0,0.0
carry_hedged,2000s,cost,-0.0170749000999001,-0.20527841941022434
carry_hedged,2000s,r_net,0.08317922628670457,1.0
carry_hedged,2010s,carry_earned,0.18941355512021613,1.1433453072258624
carry_hedged,2010s,yield_change_pnl,-0.006446143676370798,-0.0389104576882291
carry_hedged,2010s,funding,0.0,0.0
carry_hedged,2010s,fx,0.0,0.0
carry_hedged,2010s,cost,-0.017301313963813965,-0.1044348495376333
carry_hedged,2010s,r_net,0.16566609748003136,1.0
carry_hedged,2020s,carry_earned,0.1723602269858331,-2.421846895931709
carry_hedged,2020s,yield_change_pnl,-0.23089011268891105,3.244254852152886
carry_hedged,2020s,funding,0.0,-0.0
carry_hedged,2020s,fx,0.0,-0.0
carry_hedged,2020s,cost,-0.012639033882783885,0.17759204377882248
carry_hedged,2020s,r_net,-0.07116891958586191,1.0
carry_unhedged,full,carry_earned,0.34499129787657,0.42456580287146867
carry_unhedged,full,yield_change_pnl,-0.5502217931760647,-0.6771340576270237
carry_unhedged,full,funding,-0.0039940158886556665,-0.004915261842503593
carry_unhedged,full,fx,1.073072481510359,1.3205836856056712
carry_unhedged,full,cost,-0.05127358127983128,-0.06310016900761227
carry_unhedged,full,r_net,0.8125743890423772,1.0
carry_unhedged,six,carry_earned,0.14634711138690532,0.22240471287041305
carry_unhedged,six,yield_change_pnl,-0.36139195331249696,-0.549209839869346
carry_unhedged,six,funding,0.11326471401200028,0.17212916578579185
carry_unhedged,six,fx,0.7985206758589061,1.213517369440739
carry_unhedged,six,cost,-0.03871891927516928,-0.05884140822759851
carry_unhedged,six,r_net,0.6580216286701457,1.0
carry_unhedged,1990s,carry_earned,0.042951357841379316,-0.687821309978606
carry_unhedged,1990s,yield_change_pnl,-0.10661524486412363,1.7073322258390426
carry_unhedged,1990s,funding,-0.046980499289397494,0.7523438184194233
carry_unhedged,1990s,fx,0.05245720186598786,-0.8400475123167201
carry_unhedged,1990s,cost,-0.004258333333333334,0.06819277803685933
carry_unhedged,1990s,r_net,-0.06244551777948734,1.0
carry_unhedged,2000s,carry_earned,0.19416781588180781,0.27580648885918535
carry_unhedged,2000s,yield_change_pnl,-0.20627029194665913,-0.2929975017713397
carry_unhedged,2000s,funding,-0.15359936174494215,-0.21818085794234632
carry_unhedged,2000s,fx,0.8867769109474694,1.2596259843531121
carry_unhedged,2000s,cost,-0.0170749000999001,-0.02425411349861115
carry_unhedged,2000s,r_net,0.7040001730377756,1.0
carry_unhedged,2010s,carry_earned,0.17594798529910138,0.6235976619258263
carry_unhedged,2010s,yield_change_pnl,-0.006446143676370832,-0.02284652545574406
carry_unhedged,2010s,funding,-0.005464512954528166,-0.019367414160578952
carry_unhedged,2010s,fx,0.13541383293251535,0.4799358711927366
carry_unhedged,2010s,cost,-0.017301313963813965,-0.06131959350224024
carry_unhedged,2010s,r_net,0.28214984763690387,1.0
carry_unhedged,2020s,carry_earned,-0.06807586114571854,0.6125779843605752
carry_unhedged,2020s,yield_change_pnl,-0.23089011268891108,2.0776556838114213
carry_unhedged,2020s,funding,0.20205035810021219,-1.8181422757094965
carry_unhedged,2020s,fx,-0.0015754642356135082,0.014176753545849114
carry_unhedged,2020s,cost,-0.012639033882783885,0.11373185399165098
carry_unhedged,2020s,r_net,-0.11113011385281482,1.0
overlay_hedged,full,carry_earned,0.017285337435290468,-0.1896229758214943
overlay_hedged,full,yield_change_pnl,-0.036241682600775,0.3975771794599939
overlay_hedged,full,funding,0.0,-0.0
overlay_hedged,full,fx,0.0,-0.0
overlay_hedged,full,cost,-0.07220000000000001,0.7920457963615002
overlay_hedged,full,r_net,-0.09115634516548457,1.0
overlay_hedged,six,carry_earned,0.027022456565933405,-0.2237318988355558
overlay_hedged,six,yield_change_pnl,-0.09000298319881668,0.7451779331314221
overlay_hedged,six,funding,0.0,-0.0
overlay_hedged,six,fx,0.0,-0.0
overlay_hedged,six,cost,-0.057800000000000004,0.4785539657041333
overlay_hedged,six,r_net,-0.12078052663288333,1.0
overlay_hedged,1990s,carry_earned,-0.005335842603603735,-0.23181772442682186
overlay_hedged,1990s,yield_change_pnl,0.03355324826918349,1.4577337149407348
overlay_hedged,1990s,funding,0.0,0.0
overlay_hedged,1990s,fx,0.0,0.0
overlay_hedged,1990s,cost,-0.005200000000000001,-0.22591599051391292
overlay_hedged,1990s,r_net,0.023017405665579752,1.0
overlay_hedged,2000s,carry_earned,0.004112851021714672,-0.30440190636556536
overlay_hedged,2000s,yield_change_pnl,0.00617589646735188,-0.45709281669884266
overlay_hedged,2000s,funding,0.0,-0.0
