rank,sign,date,r_net,country,tenor_years,leg,wd,r_bucket,contribution
1,gain,2002-06-30,0.021858667355578374,US,3.0,long,0.45454545454545453,0.022003517412549252,0.0035332183641595635
1,gain,2002-06-30,0.021858667355578374,US,2.0,long,0.45454545454545453,0.014152760954869286,0.0033339752582929503
1,gain,2002-06-30,0.021858667355578374,US,5.0,long,0.45454545454545453,0.029066712010080938,0.0029486541360520205
1,gain,2002-06-30,0.021858667355578374,CA,2.0,long,0.45454545454545453,0.011896318118642328,0.002839277255080415
1,gain,2002-06-30,0.021858667355578374,CA,3.0,long,0.45454545454545453,0.016757001843325063,0.0027379051907684446
1,gain,2002-06-30,0.021858667355578374,DE,20.0,short,-0.45454545454545453,0.009122201082838434,-0.00034014463894581473
1,gain,2002-06-30,0.021858667355578374,CA,30.0,short,-0.45454545454545453,0.014344972158903395,-0.0004599078467473942
1,gain,2002-06-30,0.021858667355578374,GB,10.0,short,-0.45454545454545453,0.008173329287584373,-0.0004773369987512127
1,gain,2002-06-30,0.021858667355578374,GB,7.0,short,-0.45454545454545453,0.012768640210525227,-0.0009952030358069152
1,gain,2002-06-30,0.021858667355578374,GB,5.0,short,-0.45454545454545453,0.014856148601002227,-0.001545473377498576
2,gain,2003-04-30,0.01864041638002996,US,5.0,long,0.45454545454545453,0.028502993757051284,0.0027985739077946554
2,gain,2003-04-30,0.01864041638002996,US,7.0,long,0.45454545454545453,0.036469876801438365,0.0026801813147475225
2,gain,2003-04-30,0.01864041638002996,US,10.0,long,0.45454545454545453,0.04836516999607026,0.0026747082368992845
2,gain,2003-04-30,0.01864041638002996,CA,5.0,long,0.45454545454545453,0.0252364192597627,0.0025774062339302298
2,gain,2003-04-30,0.01864041638002996,CA,3.0,long,0.45454545454545453,0.01523302497618937,0.0024676905860472006
2,gain,2003-04-30,0.01864041638002996,JP,7.0,short,-0.45454545454545453,0.007858014733941437,-0.0005175039419417441
2,gain,2003-04-30,0.01864041638002996,GB,2.0,short,-0.45454545454545453,0.0023351685666795244,-0.0005542437961569609
2,gain,2003-04-30,0.01864041638002996,GB,20.0,short,-0.45454545454545453,0.030894556527316475,-0.0010825975393355695
2,gain,2003-04-30,0.01864041638002996,DE,1.0,short,-0.45454545454545453,0.0027623789627314525,-0.001285643117522812
2,gain,2003-04-30,0.01864041638002996,CA,30.0,short,-0.45454545454545453,0.06339030226441109,-0.0019435061519622364
3,gain,2002-03-31,0.015380544819058062,US,2.0,long,0.45454545454545453,0.011899831592371296,0.0028314254726640904
3,gain,2002-03-31,0.015380544819058062,US,3.0,long,0.45454545454545453,0.01673079075172624,0.002729564486196152
3,gain,2002-03-31,0.015380544819058062,US,5.0,long,0.45454545454545453,0.020768991106814523,0.0021522950502566454
3,gain,2002-03-31,0.015380544819058062,US,1.0,long,0.45454545454545453,0.004602656197919114,0.0021345764947310205
3,gain,2002-03-31,0.015380544819058062,CA,2.0,long,0.45454545454545453,0.007927313963420429,0.0019016895389083461
3,gain,2002-03-31,0.015380544819058062,CA,30.0,short,-0.45454545454545453,0.012559242717914459,-0.00040904152551805845
3,gain,2002-03-31,0.015380544819058062,DE,20.0,short,-0.45454545454545453,0.01234569082543844,-0.0004709958414924402
3,gain,2002-03-31,0.015380544819058062,GB,10.0,short,-0.45454545454545453,0.008966904130849405,-0.0005306896554173644
3,gain,2002-03-31,0.015380544819058062,GB,7.0,short,-0.45454545454545453,0.008491615811343133,-0.0006684106395102185
3,gain,2002-03-31,0.015380544819058062,DE,10.0,short,-0.45454545454545453,0.011733248042025558,-0.0006997929957181502
4,gain,2003-08-31,0.014805425557920129,US,5.0,long,0.4166666666666667,0.03207756907449424,0.002934019807082714
4,gain,2003-08-31,0.014805425557920129,US,7.0,long,0.4166666666666667,0.04099211019879081,0.0028216908870503494
4,gain,2003-08-31,0.014805425557920129,US,3.0,long,0.4166666666666667,0.01821589071646259,0.002642269291931208
4,gain,2003-08-31,0.014805425557920129,US,10.0,long,0.4166666666666667,0.04547019331972204,0.0023679605851975316
4,gain,2003-08-31,0.014805425557920129,US,2.0,long,0.4166666666666667,0.009827478576466838,0.0020975386375890275
4,gain,2003-08-31,0.014805425557920129,GB,10.0,short,-0.4166666666666667,0.007341267046278256,-0.0003864004680356345
4,gain,2003-08-31,0.014805425557920129,GB,7.0,short,-0.4166666666666667,0.007045200666441221,-0.0004950208826436335
4,gain,2003-08-31,0.014805425557920129,CA,30.0,short,-0.4166666666666667,0.03254178089622867,-0.0009082577184215886
4,gain,2003-08-31,0.014805425557920129,CA,1.0,short,-0.4166666666666667,0.002414711628234425,-0.0010275680819427408
4,gain,2003-08-31,0.014805425557920129,CA,20.0,short,-0.4166666666666667,0.030424610821662982,-0.001043411445722927
