country,trades,months_in_market,months_in_sample,share_in_market,hit_rate,mean_pnl_bp,median_pnl_bp,total_pnl_net_bp,months_armed_not_traded,months_no_score_under_min,months_no_z_short_window
CA,31,56,349,0.16045845272206305,0.5161290322580645,-6.864553467508455,0.7913162071704445,-212.80115749276212,0,0,0
DE,33,63,348,0.1810344827586207,0.5151515151515151,-4.673963963770907,1.1047716025667649,-154.24081080443995,0,59,35
FR,12,39,261,0.14942528735632185,0.4166666666666667,-20.1288414649205,-6.627038199689185,-241.54609757904603,0,59,35
GB,34,50,349,0.14326647564469913,0.6764705882352942,2.4332088599284654,11.947562821457584,82.72910123756782,0,0,0
JP,33,68,349,0.19484240687679083,0.5151515151515151,-10.356761137299454,0.9620136902782708,-341.77311753088196,0,0,0
US,38,70,349,0.20057306590257878,0.5526315789473685,-1.1560886706653584,0.8283738409069485,-43.93136948528362,0,0,0
